Ticker,CIK,Form Type,Filing Date,Accession Number,URL
PG,0000080424,10-Q,2025-10-24,0000080424-25-000245,https://www.sec.gov/Archives/edgar/data/80424/000008042425000245/pg-20250930.htm
PM,0001413329,10-Q,2025-10-24,0001628280-25-046179,https://www.sec.gov/Archives/edgar/data/1413329/000162828025046179/pm-20250930.htm
TSLA,0001318605,10-Q,2025-10-23,0001628280-25-045968,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/tsla-20250930.htm
TMUS,0001283699,10-Q,2025-10-23,0001283699-25-000154,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000154/tmus-20250930.htm
KO,0000021344,10-Q,2025-10-23,0001628280-25-046054,https://www.sec.gov/Archives/edgar/data/21344/000162828025046054/ko-20250926.htm
IBM,0000051143,10-Q,2025-10-23,0000051143-25-000064,https://www.sec.gov/Archives/edgar/data/51143/000005114325000064/ibm-20250930.htm
NFLX,0001065280,10-Q,2025-10-22,0001065280-25-000406,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000406/nflx-20250930.htm
JNJ,0000200406,10-Q,2025-10-22,0000200406-25-000209,https://www.sec.gov/Archives/edgar/data/200406/000020040625000209/jnj-20250928.htm
GE,0000040545,10-Q,2025-10-21,0000040545-25-000132,https://www.sec.gov/Archives/edgar/data/40545/000004054525000132/ge-20250930.htm
AXP,0000004962,10-Q,2025-10-17,0000004962-25-000222,https://www.sec.gov/Archives/edgar/data/4962/000000496225000222/axp-20250930.htm
