Ticker,CIK,Form Type,Filing Date,Accession Number,URL
PG,0000080424,10-Q,2025-10-24,0000080424-25-000245,https://www.sec.gov/Archives/edgar/data/80424/000008042425000245/0000080424-25-000245.txt
PM,0001413329,10-Q,2025-10-24,0001628280-25-046179,https://www.sec.gov/Archives/edgar/data/1413329/000162828025046179/0001628280-25-046179.txt
TSLA,0001318605,10-Q,2025-10-23,0001628280-25-045968,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045968/0001628280-25-045968.txt
TMUS,0001283699,10-Q,2025-10-23,0001283699-25-000154,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000154/0001283699-25-000154.txt
KO,0000021344,10-Q,2025-10-23,0001628280-25-046054,https://www.sec.gov/Archives/edgar/data/21344/000162828025046054/0001628280-25-046054.txt
IBM,0000051143,10-Q,2025-10-23,0000051143-25-000064,https://www.sec.gov/Archives/edgar/data/51143/000005114325000064/0000051143-25-000064.txt
NFLX,0001065280,10-Q,2025-10-22,0001065280-25-000406,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000406/0001065280-25-000406.txt
JNJ,0000200406,10-Q,2025-10-22,0000200406-25-000209,https://www.sec.gov/Archives/edgar/data/200406/000020040625000209/0000200406-25-000209.txt
GE,0000040545,10-Q,2025-10-21,0000040545-25-000132,https://www.sec.gov/Archives/edgar/data/40545/000004054525000132/0000040545-25-000132.txt
AXP,0000004962,10-Q,2025-10-17,0000004962-25-000222,https://www.sec.gov/Archives/edgar/data/4962/000000496225000222/0000004962-25-000222.txt
AVGO,0001730168,10-Q,2025-09-10,0001730168-25-000098,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000098/0001730168-25-000098.txt
ORCL,0001341439,10-Q,2025-09-10,0001193125-25-200095,https://www.sec.gov/Archives/edgar/data/1341439/000119312525200095/0001193125-25-200095.txt
CRM,0001108524,10-Q,2025-09-04,0001108524-25-000088,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000088/0001108524-25-000088.txt
WMT,0000104169,10-Q,2025-08-29,0000104169-25-000137,https://www.sec.gov/Archives/edgar/data/104169/000010416925000137/0000104169-25-000137.txt
NVDA,0001045810,10-Q,2025-08-27,0001045810-25-000209,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/0001045810-25-000209.txt
HD,0000354950,10-Q,2025-08-26,0000354950-25-000217,https://www.sec.gov/Archives/edgar/data/354950/000035495025000217/0000354950-25-000217.txt
UNH,0000731766,10-Q,2025-08-11,0000731766-25-000236,https://www.sec.gov/Archives/edgar/data/731766/000073176625000236/0000731766-25-000236.txt
LLY,0000059478,10-Q,2025-08-07,0000059478-25-000204,https://www.sec.gov/Archives/edgar/data/59478/000005947825000204/0000059478-25-000204.txt
CVX,0000093410,10-Q,2025-08-07,0000093410-25-000062,https://www.sec.gov/Archives/edgar/data/93410/000009341025000062/0000093410-25-000062.txt
AMD,0000002488,10-Q,2025-08-06,0000002488-25-000108,https://www.sec.gov/Archives/edgar/data/2488/000000248825000108/0000002488-25-000108.txt
APP,0001751008,10-Q,2025-08-06,0001751008-25-000072,https://www.sec.gov/Archives/edgar/data/1751008/000175100825000072/0001751008-25-000072.txt
JPM,0000019617,10-Q,2025-08-05,0000019617-25-000615,https://www.sec.gov/Archives/edgar/data/19617/000001961725000615/0000019617-25-000615.txt
PLTR,0001321655,10-Q,2025-08-05,0001321655-25-000106,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000106/0001321655-25-000106.txt
WFC,0000072971,10-Q,2025-08-05,0000072971-25-000201,https://www.sec.gov/Archives/edgar/data/72971/000007297125000201/0000072971-25-000201.txt
